Hora                               Piloto             Nº Volta   Tempo Volta       Velocidade média da volta 
23:49:08.277      038 – F.MASSA                           1     62,852           44,275 
23:49:10.858      033 – R.BARRICHELLO                     1     64,352           43,243 
23:49:11.075      002 – K.RAIKKONEN                       1     64,108           43,408 
23:49:12.667      023 – M.WEBBER                          1     64,414           43.202 
23:49:30.976      015 – F.ALONSO                          1     68,456           35,47 
23:50:11.447      038 – F.MASSA                           2     63,170           44,053 
23:50:14.860      033 – R.BARRICHELLO                     2     64,002           43,48 
23:50:15.057      002 – K.RAIKKONEN                       2     63,982           43,493 
23:50:17.472      023 – M.WEBBER                          2     64,805           42,941 
23:50:37.987      015 – F.ALONSO                          2     67,011           41,528 
23:51:14.216      038 – F.MASSA                           3     62,769           44,334 
23:51:18.576      033 – R.BARRICHELLO                     3     63,716           43,675 
23:51:19.044      002 – K.RAIKKONEN                       3     63,987           43,49 
23:51:21.759      023 – M.WEBBER                          3     64,287           43,287 
23:51:46.691      015 – F.ALONSO                          3     68,704           40,504 
23:52:01.796      011 – S.VETTEL                          1     221,315          13,169 
23:52:17.003      038 – F.MASSA                           4     62,787           44,321 
23:52:22.586      033 – R.BARRICHELLO                     4     64,010           43,474 
23:52:22.120      002 – K.RAIKKONEN                       4     63,076           44,118 
23:52:25.975      023 – M.WEBBER                          4     64,216           43,335 
23:53:06.741      015 – F.ALONSO                          4     80,050           34,763 
23:53:39.660      011 – S.VETTEL                          2     97,864           28,435 
23:54:57.757      011 – S.VETTEL                          3     78,097           35,633
